Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ANTH 304 P 
4 cr 
CRN 30766","The Anthropology of Peace and Conflict: World Wisdom for Conflict Resolution
CLA-Breadth/Social Science",Jonathan Golden,07:00 PM - 09:30 PM M,BC 120,14,13,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ARCR 808 - P 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 304 R 
4 cr 
CRN 30063","Topics in Anthropology: History, Culture, and the Environment
CLA-Breadth/Social Science",Marc Boglioli,07:00 PM - 09:30 PM W,BC 202,15,13,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ESS 383 - R 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 320 H 
4 cr 
CRN 30066","Selected Topics in Biological Anthropology: Evolutionary Medicine
CLA-Writing Intensive",Linda Van Blerkom,11:50 AM - 01:05 PM TR,BC 103,20,11,9,0,"Pre-reqs: ANTH 103 OR ANTH 3X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 375 G 
4 cr 
CRN 30068","Museums & Society
CLA-Breadth/Interdisciplinary
CLA-Off Campus Experience",Margaret Kuntz,11:50 AM - 01:05 PM W,ARTS 105,15,15,0,0,"Pre-reqs: ANTH 375L (MAY BE TAKEN CONCURRENTLY) 
Co-Reqs: 
Cross Listed: ARTH 375 - G 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 375L X 
0 cr 
CRN 30073",Museums and Society Lab,Margaret Kuntz,09:00 AM - 05:00 PM F,ARTS 105,15,15,0,0,"Pre-reqs: ANTH 375 (MAY BE TAKEN CONCURRENTLY) 
Co-Reqs: 
Cross Listed: ARTH 375L - X 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 400 M 
4 cr 
CRN 30071","Senior Seminar in Anthropology
CLA-Capstone",Maria Masucci,04:30 PM - 07:00 PM R,BC 102,15,11,4,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 411 X 
4 cr 
CRN 30821","Specialized Honors II: Asian American Activism
CLA-Capstone
CLA-Writing Intensive",Marc Boglioli,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ARBC 102 E 
4 cr 
CRN 30282",Elementary Mordern Standard Arabic II,Huda Shanawani,"10:25 AM - 11:40 AM MWF
 08:30 AM - 11:30 AM W - Final Exam","BC 20
 BC 20 - Final Exam",12,8,4,0,"Pre-reqs: ARBC 101 (MAY BE TAKEN CONCURRENTLY) 
Co-Reqs: ARBC 104 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 104 F 
2 cr 
CRN 30289",Arabic Conversation II,Huda Shanawani,"10:25 AM - 11:40 AM TR
 12:30 PM - 03:30 PM R - Final Exam","BC 20
 BC 20 - Final Exam",12,8,4,0,"Pre-reqs: 
Co-Reqs: ARBC 102 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ART 104 KZ 
4 cr 
CRN 30076","Light, Color & Design
CLA-Breadth/Arts",Janne Hoeltermann,01:15 PM - 03:15 PM TR,ARTS 102,14,14,0,3,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 104 KZ 
4 cr 
CRN 30076","Light, Color & Design
CLA-Breadth/Arts",Janne Hoeltermann,01:15 PM - 03:15 PM TR,ARTS 102,14,14,0,3,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 106 EG 
4 cr 
CRN 30080","Drawing I
CLA-Breadth/Arts",Valerie Hegarty,10:25 AM - 12:25 PM MW,ARTS 206,18,17,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 106 FH 
4 cr 
CRN 30089","Drawing I
CLA-Breadth/Arts",Ahni Kruger,10:25 AM - 12:25 PM TR,ARTS 206,18,18,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 112 JT 
4 cr 
CRN 30128","Ceramic Sculpture I
CLA-Breadth/Arts",William Mutter,01:15 PM - 03:15 PM MW,ARTS 7,16,15,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ART 212 - JT 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 112 TL 
4 cr 
CRN 30129","Ceramic Sculpture I
CLA-Breadth/Arts",William Mutter,03:45 PM - 05:45 PM MW,ARTS 7,16,17,-1,9,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ART 212 - TL 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 120 FH 
4 cr 
CRN 30091","Digital Imaging
CLA-Breadth/Arts",Lee Arnold,11:05 AM - 01:05 PM TR,ARTS 102,12,11,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 130 CE 
4 cr 
CRN 30094","Photography I
CLA-Breadth/Arts",Rebecca Soderholm,09:40 AM - 11:40 AM WF,ARTS 102,12,12,0,1,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 140 KZ 
4 cr 
CRN 30096","Printmaking I
CLA-Breadth/Arts",Ahni Kruger,01:15 PM - 03:15 PM TR,ARTS 3,12,15,-3,3,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ART 240 - KZ; ART 340 - KZ 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 160 HK 
4 cr 
CRN 30097","Painting I
CLA-Breadth/Arts",Michael Peglau,12:25 PM - 02:25 PM TR,ARTS 202,13,15,-2,2,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 160 M 
4 cr 
CRN 30111","Painting I
CLA-Breadth/Arts",Michael Peglau,02:40 PM - 04:40 PM TR,ARTS 202,13,14,-1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 206 JT 
4 cr 
CRN 30130",Drawing II,Valerie Hegarty,01:15 PM - 03:15 PM MW,ARTS 206,14,14,0,4,"Pre-reqs: ART 106 OR ART 21X 
Co-Reqs: 
Cross Listed: ART 306 - JT 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 212 JT 
4 cr 
CRN 30112",Ceramic Sculpture II (stacked w/Ceramic Sculpture I),William Mutter,01:15 PM - 03:15 PM MW,ARTS 7,16,15,1,2,"Pre-reqs: ART 112 OR ART 27X 
Co-Reqs: 
Cross Listed: ART 112 - JT 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 212 TL 
4 cr 
CRN 30113",Ceramic Sculpture II (stacked w/Ceramic Sculpture I),William Mutter,03:45 PM - 05:45 PM MW,ARTS 7,16,17,-1,0,"Pre-reqs: ART 112 OR ART 27X 
Co-Reqs: 
Cross Listed: ART 112 - TL 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 220 ZM 
4 cr 
CRN 30115","Digital Video
CLA-Breadth/Arts",Janne Hoeltermann,03:45 PM - 05:45 PM TR,ARTS 102,12,13,-1,5,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 230 JT 
4 cr 
CRN 30117","Photography II
CLA-Breadth/Arts",Rory Mulligan,01:55 PM - 03:55 PM MW,ARTS 2,12,10,2,0,"Pre-reqs: ART 130 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 240 KZ 
4 cr 
CRN 30119",Printmaking II (stacked w/Printmaking I),Ahni Kruger,01:15 PM - 03:15 PM TR,ARTS 3,12,15,-3,0,"Pre-reqs: (ART 140 OR ART 106 ) 
Co-Reqs: 
Cross Listed: ART 140 - KZ; ART 340 - KZ 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 260 HK 
4 cr 
CRN 30121",Painting II,Jason Karolak,12:30 PM - 02:30 PM TR,ARTS 201,12,12,0,0,"Pre-reqs: ART 160 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 270 KZ 
4 cr 
CRN 30639","Special Topics in Studio Art: Topics in Documentary Expression
CLA-Breadth/Arts","Rebecca Soderholm
 Julia Wolfe",01:15 PM - 03:45 PM R,MUS 111,12,11,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: MUS 260 - KZ 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 300 X 
2 cr 
CRN 30911",Indpependent Study: Art - 3D Character Modeling,Lee Arnold,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: 1st Half Session 
Final Exam:"
"ART 300 X1 
4 cr 
CRN 30916",Independent Study: Art - Digitial Animation,Lee Arnold,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 300 X2 
2 cr 
CRN 30923",Independent Study: Art - Printmaking,Ahni Kruger,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 300 X3 
1 cr 
CRN 30939",3D Model Character Modeling,Lee Arnold,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: 1st Half Session 
Final Exam:"
"ART 300 X4 
1 cr 
CRN 30968",Advanced Painting,Patrick McGuinn,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 300 X5 
1 cr 
CRN 30979",Independent Study: Digital Animation,Lee Arnold,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 306 JT 
4 cr 
CRN 30122",Drawing III (stacked w/Drawing II),Valerie Hegarty,01:15 PM - 03:15 PM MW,ARTS 206,14,14,0,1,"Pre-reqs: ART 206 OR ART 122X 
Co-Reqs: 
Cross Listed: ART 206 - JT 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 320 DF 
4 cr 
CRN 30123","Digital Animation
CLA-Breadth/Arts
CLA-Quantitative",Lee Arnold,09:00 AM - 11:00 AM TR,ARTS 102,12,10,2,0,"Pre-reqs: (ART 220 OR ART 37X ) OR (ART 120 OR ART 35X ) 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 330 L 
4 cr 
CRN 30124",Photography III,Rory Mulligan,04:30 PM - 06:30 PM MW,ARTS 102,12,12,0,0,"Pre-reqs: (ART 130 OR ART 33X ) AND (ART 230 OR ART 34X ) 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 340 KZ 
4 cr 
CRN 30125",Printmaking III (stacked w/Printmaking II),Ahni Kruger,01:15 PM - 03:15 PM TR,ARTS 3,12,15,-3,0,"Pre-reqs: ART 240 
Co-Reqs: 
Cross Listed: ART 140 - KZ; ART 240 - KZ 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 360 ZM 
4 cr 
CRN 30126",Painting III,Jason Karolak,02:40 PM - 04:40 PM TR,ARTS 201,12,11,1,0,"Pre-reqs: ART 260 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 392 DF 
4 cr 
CRN 30667",Senior Studio II,Jason Karolak,09:40 AM - 11:40 AM TR,ARTS 207,17,15,2,0,"Pre-reqs: ART 390 OR ART 400 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 405 H 
2 cr 
CRN 30643","Professional Practice
CLA-Capstone
CLA-Writing in the Major",Rebecca Soderholm,11:50 AM - 01:05 PM TR,ARTS 105,10,8,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: 1st Half Session 
Final Exam:"
"ART 405 H2 
2 cr 
CRN 30644","Professional Practice
CLA-Capstone
CLA-Writing in the Major",Rebecca Soderholm,11:50 AM - 01:05 PM TR,ARTS 105,10,8,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: 2nd Half Session 
Final Exam:"
"ART 411 X 
4 cr 
CRN 30778","Specialized Honors II: The Local's Perspective
CLA-Capstone
CLA-Writing Intensive",Michael Peglau,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 411 X1 
4 cr 
CRN 30860","Specialized Honors II: Eco-phenomenology and Contemporary Art
CLA-Capstone
CLA-Writing Intensive",Michael Peglau,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ARTH 101 C 
4 cr 
CRN 30131","Survey of Western Art: Ancient and Medieval
CLA-Breadth/Arts
CLA-Breadth/Humanities",Marguerite Keane,"09:00 AM - 10:15 AM MW
 08:30 AM - 11:30 AM M - Final Exam","ARTS 106
 ARTS 106 - Final Exam",30,15,15,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 102 E 
4 cr 
CRN 30132","Survey of Western Art: Early Modern, Modern, and Contemporary
CLA-Breadth/Arts
CLA-Breadth/Humanities
CLA-Diversity International",Lynn Somers-Davis,"10:25 AM - 11:40 AM WF
 08:30 AM - 11:30 AM F - Final Exam","ARTS 106
 ARTS 106 - Final Exam",30,15,15,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 102 E 
4 cr 
CRN 30132","Survey of Western Art: Early Modern, Modern, and Contemporary
CLA-Breadth/Arts
CLA-Breadth/Humanities
CLA-Diversity International",Lynn Somers-Davis,"10:25 AM - 11:40 AM WF
 08:30 AM - 11:30 AM F - Final Exam","ARTS 106
 ARTS 106 - Final Exam",30,15,15,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 219H F 
4 cr 
CRN 30641","Honors: Special Topics in ARTH - Modern Age in the West: Cities Through Art, Film and Literature
CLA-Baldwin Honors
CLA-Breadth/Arts
CLA-Breadth/Humanities
CLA-Breadth/Interdisciplinary","Marie-Pascale Pieretti
 Kimberly Rhodes",10:25 AM - 11:40 AM TR,ARTS 106,26,26,0,2,"Pre-reqs: 
Co-Reqs: 
Cross Listed: HUM 217H - F 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 219H F 
4 cr 
CRN 30641","Honors: Special Topics in ARTH - Modern Age in the West: Cities Through Art, Film and Literature
CLA-Baldwin Honors
CLA-Breadth/Arts
CLA-Breadth/Humanities
CLA-Breadth/Interdisciplinary","Marie-Pascale Pieretti
 Kimberly Rhodes",10:25 AM - 11:40 AM TR,ARTS 106,26,26,0,2,"Pre-reqs: 
Co-Reqs: 
Cross Listed: HUM 217H - F 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 242 Z 
4 cr 
CRN 30133",Aesthetics,Erik Anderson,02:40 PM - 03:55 PM TR,ARTS 106,20,20,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: PHIL 334 - Z 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 256 D 
4 cr 
CRN 30134","The Art of Ancient Egypt: History and Modern Myth
CLA-Breadth/Arts
CLA-Breadth/Humanities
CLA-Diversity International",Marguerite Keane,"09:00 AM - 10:15 AM TR
 08:30 AM - 11:30 AM T - Final Exam","ARTS 106
 ARTS 106 - Final Exam",30,17,13,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 300 X1 
1 cr 
CRN 31000",Indepedent Study: Museum Studies,Marguerite Keane,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: 2nd Half Session 
Final Exam:"
"ARTH 306 G 
4 cr 
CRN 30135","Early 20th-Century Art
CLA-Breadth/Arts
CLA-Breadth/Humanities",Lynn Somers-Davis,"11:50 AM - 01:05 PM WF
 12:30 PM - 03:30 PM F - Final Exam","ARTS 106
 ARTS 106 - Final Exam",35,11,24,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 375 G 
4 cr 
CRN 30136","Museums and Society
CLA-Breadth/Interdisciplinary
CLA-Off Campus Experience",Margaret Kuntz,11:50 AM - 01:05 PM W,ARTS 105,15,15,0,0,"Pre-reqs: ARTH 375L (MAY BE TAKEN CONCURRENTLY) 
Co-Reqs: 
Cross Listed: ANTH 375 - G 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 375L X 
0 cr 
CRN 30139",Museums and Society Lab,Margaret Kuntz,09:00 AM - 05:00 PM F,ARTS 105,15,15,0,0,"Pre-reqs: ARTH 375 (MAY BE TAKEN CONCURRENTLY) 
Co-Reqs: 
Cross Listed: ANTH 375L - X 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 400 KZ 
4 cr 
CRN 30137","Research Seminar Capstone: Medieval Jewelry and Metalwork
CLA-Breadth/Humanities
CLA-Capstone
CLA-Writing in the Major",Marguerite Keane,01:15 PM - 03:45 PM R,ARTS 105,15,9,6,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 411 X 
0 cr 
CRN 30777","Specialized Honors II: Resisting Otherness: Revisit. Represen. of Femininity in the Italian Renaiss.
CLA-Capstone
CLA-Writing Intensive",Margaret Kuntz,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ARTH 411 X1 
0 cr 
CRN 30782","Specialized Honors II: Museum and the Auction House
CLA-Capstone
CLA-Writing Intensive",Kimberly Rhodes,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"BCHM 300 X 
4 cr 
CRN 31018",Ind. Stud.: BCHM and Molec Bio,Ryan Hinrichs,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"BCHM 300 X1 
4 cr 
CRN 31005",Independent Study: Inflammatory Responses to Nucleic Acid,Brianne Barker,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"BCHM 300 X2 
4 cr 
CRN 31030",Independent Study: Bichemistry and Melecular Biology,Bimal Dasmahapatra,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"BCHM 395 X 
4 cr 
CRN 30749","Research in Biochemistry
CLA-Writing in the Major",Stephen Dunaway,-,,15,3,12,0,"Pre-reqs: (CHEM 360 ) OR (CHEM 117X ) OR (CHEM 117X ) OR (BIOL 368 ) OR (BIOL 156X ) 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BCHM 400 H 
2 cr 
CRN 30003","Capstone Seminar
CLA-Capstone",Adam Cassano,11:50 AM - 01:05 PM T,BC 102,15,12,3,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BCHM 411 X 
4 cr 
CRN 30775","Specialized Honors II: Investigating the Effects of Thio-Substitutions on Metal Ion Coordination
CLA-Capstone
CLA-Writing Intensive",Adam Cassano,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"BCHM 411 X1 
4 cr 
CRN 30791","Specialized Honors II: Development of Novel Assays for the Reactivation of Mutant p53
CLA-Capstone
CLA-Writing Intensive",Bimal Dasmahapatra,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"BCHM 411 X2 
4 cr 
CRN 30799","Specialized Honors II: Inflammatory Responses to Nucleic Acid
CLA-Capstone
CLA-Writing Intensive",Brianne Barker,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"BCHM 411 X3 
4 cr 
CRN 30807","Specialized Honors II: Inhibtion of Human Metab. of p53 Reactivating Compounds
CLA-Capstone
CLA-Writing Intensive",Ronald Doll,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"BCHM 411 X4 
4 cr 
CRN 30880","Specialized Honors II: Monitoring h2O Uptake by Biol Aerosols to Access/ Impact on Cloud Formation
CLA-Capstone
CLA-Writing Intensive",Ryan Hinrichs,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"BIOL 101 D 
4 cr 
CRN 30002","Environmental Biology
CLA-Breadth/Natural Science",Caroline Maier,"09:00 AM - 10:15 AM TR
 08:30 AM - 11:30 AM T - Final Exam","HSC S308
 HSC S308 - Final Exam",24,25,-1,1,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 103 E 
4 cr 
CRN 30044","Microbes in Health and Disease
CLA-Breadth/Natural Science
CLA-Quantitative",Joanna Miller,"10:25 AM - 11:30 AM MWF
 08:30 AM - 11:30 AM W - Final Exam","HSC S139
 HSC S139 - Final Exam",24,24,0,1,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 160 C 
4 cr 
CRN 30004","Diversity of Life: Animals, Plants, and Microbes
CLA-Breadth/Natural Science
CLA-Writing in the Major",Caroline Maier,"09:10 AM - 10:15 AM MWF
 08:30 AM - 11:30 AM M - Final Exam","HSC S4
 HSC S4 - Final Exam",46,42,4,0,"Pre-reqs: 
Co-Reqs: BIOL 160L 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
