Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ANTH 310 R 
4 cr 
CRN 30142","Ethnographic Research Methods
CLA-Writing in the Major",Marc Boglioli,07:00 PM - 09:30 PM W,BC 203,20,7,13,0,"Pre-reqs: ANTH 104 OR ANTH 4X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 312 K 
4 cr 
CRN 30145","Human Osteology
CLA-Writing in the Major",Stephan Naji-Hussain,01:15 PM - 02:30 PM TR,FLK 2,12,8,4,0,"Pre-reqs: ANTH 103 OR ANTH 3X 
Co-Reqs: ANTH 312L 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 312L Z 
0 cr 
CRN 30202",Human Osteology Laboratory,Stephan Naji-Hussain,02:40 PM - 03:55 PM TR,FLK 2,12,8,4,0,"Pre-reqs: ANTH 103 
Co-Reqs: ANTH 312 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 321 F 
4 cr 
CRN 30156",Forensic Anthropology,Stephan Naji-Hussain,10:25 AM - 11:40 AM TR,BC 21,30,15,15,0,"Pre-reqs: (ANTH 103 OR ANTH 3X ) 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 322 E 
4 cr 
CRN 30158","Primatology
CLA-Breadth/Social Science",Tammy Windfelder,10:25 AM - 11:40 AM MWF,HSC S308,30,30,0,0,"Pre-reqs: (ANTH 3X OR ANTH 103 ) OR (BIOL 150 OR BIOL 7X ) OR (BIOL 160 OR BIOL 9X ) 
Co-Reqs: 
Cross Listed: BIOL 322 - E 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 332 T 
4 cr 
CRN 30193","Wildlife and Culture
CLA-Breadth/Social Science
CLA-Diversity International",Marc Boglioli,02:40 PM - 03:55 PM WF,BC 217,30,21,9,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ESS 332 - T 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ANTH 400 M 
4 cr 
CRN 30200","Senior Seminar in Anthropology
CLA-Capstone",Allan Dawson,04:30 PM - 07:00 PM R,BC 203,30,5,25,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ARBC 102 E 
4 cr 
CRN 30618",Elementary Modern Standard Arabic II,Huda Shanawani,10:25 AM - 11:40 AM MWF,BC 202,15,10,5,0,"Pre-reqs: ARBC 101 (MAY BE TAKEN CONCURRENTLY) 
Co-Reqs: ARBC 104 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 104 F 
2 cr 
CRN 30619",Arabic Conversation II,Huda Shanawani,10:25 AM - 11:40 AM TR,BC 102,15,10,5,0,"Pre-reqs: 
Co-Reqs: ARBC 102 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARBC 202 G 
4 cr 
CRN 30620",Intermediate Modern Standard Arabic II,Karim Ali,11:50 AM - 01:05 PM WF,BC 216,15,4,11,0,"Pre-reqs: ARBC 201 OR ARBC 30X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ART 104 EG 
4 cr 
CRN 30098","Light, Color & Design
CLA-Breadth/Arts",Valerie Hegarty,10:25 AM - 12:25 PM MW,ARTS 3,14,14,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 104 EG 
4 cr 
CRN 30098","Two-Dimensional Design
CLA-Breadth/Arts",Valerie Hegarty,10:25 AM - 12:25 PM MW,ARTS 3,14,14,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 105 M 
4 cr 
CRN 30105","Sculpture I
CLA-Breadth/Arts",Raymond Stein,04:30 PM - 06:30 PM TR,ARTS 8,10,9,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 106 FH 
4 cr 
CRN 30108","Drawing I
CLA-Breadth/Arts",Raymond Stein,10:25 AM - 12:25 PM TR,ARTS 206,16,15,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 106 KZ 
4 cr 
CRN 30113","Drawing I
CLA-Breadth/Arts",Raymond Stein,01:15 PM - 03:15 PM TR,ARTS 206,16,14,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 106 VJT 
4 cr 
CRN 30110","Drawing I
CLA-Breadth/Arts",Valerie Hegarty,01:55 PM - 03:55 PM MW,ARTS 206,14,16,-2,1,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 112 JT 
4 cr 
CRN 30118","Ceramic Sculpture I
CLA-Breadth/Arts",William Mutter,01:15 PM - 03:15 PM MW,ARTS 7,14,16,-2,4,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 112 TL 
4 cr 
CRN 30120","Ceramic Sculpture I
CLA-Breadth/Arts",William Mutter,03:45 PM - 05:45 PM MW,ARTS 7,12,14,-2,6,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 120 DF 
4 cr 
CRN 30126","Digital Imaging
CLA-Breadth/Arts",Janne Hoeltermann,09:40 AM - 11:40 AM TR,ARTS 102,12,12,0,4,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 130 GJ 
4 cr 
CRN 30133","Photography I
CLA-Breadth/Arts",Rebecca Soderholm,12:30 PM - 02:30 PM WF,ARTS 102,12,11,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 130 M 
4 cr 
CRN 30138","Photography I
CLA-Breadth/Arts",Rory Mulligan,04:30 PM - 06:30 PM TR,ARTS 102,12,12,0,1,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 130 TL 
4 cr 
CRN 30771","Photography I
CLA-Breadth/Arts",Rebecca Soderholm,02:40 PM - 04:40 PM WF,ARTS 102,12,12,0,3,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 140 KZ 
4 cr 
CRN 30143","Printmaking 1
CLA-Breadth/Arts",Ahni Kruger,01:15 PM - 03:15 PM TR,ARTS 3,11,10,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 160 EG 
4 cr 
CRN 30147","Painting I
CLA-Breadth/Arts",Michael Peglau,10:25 AM - 12:25 PM MW,ARTS 201,12,12,0,2,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 160 JT 
4 cr 
CRN 30148","Painting I
CLA-Breadth/Arts",Michael Peglau,01:15 PM - 03:15 PM MW,ARTS 201,12,12,0,2,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 205 M 
4 cr 
CRN 30662","Sculpture II
CLA-Breadth/Arts",Raymond Stein,04:30 PM - 06:30 PM TR,ARTS 8,4,4,0,0,"Pre-reqs: ART 105 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 206 GJ 
4 cr 
CRN 30150",Drawing II,Claire Sherman,11:50 AM - 01:50 PM WF,ARTS 206,16,9,7,0,"Pre-reqs: ART 106 OR ART 21X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 212 JT 
4 cr 
CRN 30274",Ceramic Sculpture II,William Mutter,01:15 PM - 03:15 PM MW,ARTS 7,2,2,0,0,"Pre-reqs: ART 112 OR ART 27X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 212 TL 
4 cr 
CRN 30276",Ceramic Sculpture II,William Mutter,03:45 PM - 05:45 PM MW,ARTS 7,2,6,-4,0,"Pre-reqs: ART 112 OR ART 27X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 220 HK 
4 cr 
CRN 30152","Digital Video
CLA-Breadth/Arts",Janne Hoeltermann,11:50 AM - 01:50 PM TR,ARTS 102,12,12,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 230 KZ 
4 cr 
CRN 30153","Photography II
CLA-Breadth/Arts",Rory Mulligan,01:55 PM - 03:55 PM TR,ARTS 2,12,10,2,0,"Pre-reqs: ART 130 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 240 KZ 
4 cr 
CRN 30278",Printmaking II,Ahni Kruger,01:15 PM - 03:15 PM TR,ARTS 3,2,1,1,0,"Pre-reqs: (ART 140 OR ART 106 ) 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 260 HK 
4 cr 
CRN 30157",Painting II,Jason Karolak,12:30 PM - 02:30 PM TR,ARTS 202,12,12,0,0,"Pre-reqs: ART 160 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 270 C 
4 cr 
CRN 30162",Special Topics in Studio Art: Environmental Aesthetics,"Lee Arnold
 Erik Anderson",09:00 AM - 10:15 AM WF,ARTS 105,20,20,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ESS 344 - C; PHIL 344 - C 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 300 X 
1 cr 
CRN 30840",Animation,Lee Arnold,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 300 X1 
4 cr 
CRN 30842",Ceramics IV,Raymond Stein,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 300 X2 
2 cr 
CRN 30843",Website Creation and management,Claire Sherman,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: 1st Half Session 
Final Exam:"
"ART 300 X3 
4 cr 
CRN 30872",Digital Animation II,Lee Arnold,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 300 X4 
4 cr 
CRN 30903",Painting IV,Jason Karolak,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 300 X5 
4 cr 
CRN 30919",Still Life & Portraits,Rory Mulligan,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 300 X6 
1 cr 
CRN 30928",Large-Scale Digital Printing,Rebecca Soderholm,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 300 X7 
2 cr 
CRN 30954",Painting,Jason Karolak,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 300 X8 
4 cr 
CRN 30961",Printmaking IV,Ahni Kruger,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 305 M 
4 cr 
CRN 30663",Sculpture III,Raymond Stein,04:30 PM - 06:30 PM TR,ARTS 8,2,0,2,0,"Pre-reqs: (ART 208 ) OR (ART 205 OR ART 28X ) 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 320 EG 
4 cr 
CRN 30168","Digital Animation
CLA-Breadth/Arts
CLA-Quantitative",Lee Arnold,10:25 AM - 12:25 PM WF,ARTS 102,12,11,1,0,"Pre-reqs: (ART 220 OR ART 37X ) OR (ART 120 OR ART 35X ) 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 340 KZ 
4 cr 
CRN 30279",Printmaking III,Ahni Kruger,01:15 PM - 03:15 PM TR,ARTS 3,3,3,0,0,"Pre-reqs: ART 240 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 360 ZM 
4 cr 
CRN 30191",Painting III,Jason Karolak,02:40 PM - 04:40 PM TR,ARTS 202,12,10,2,0,"Pre-reqs: ART 260 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 370 CE 
4 cr 
CRN 30648","Topics in Studio Art: Advanced Drawing: Mixed Media
CLA-Breadth/Arts",Claire Sherman,09:40 AM - 11:40 AM WF,ARTS 206,12,11,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 392 DF 
4 cr 
CRN 30192",Senior Studio II,Jason Karolak,09:40 AM - 11:40 AM TR,ARTS 207,15,9,6,0,"Pre-reqs: ART 390 OR ART 400 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 404 X1 
4 cr 
CRN 30789",Digital Animation,Lee Arnold,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 405 HK 
2 cr 
CRN 30194","Professional Practice
CLA-Capstone
CLA-Writing in the Major",Rebecca Soderholm,11:50 AM - 02:20 PM R,BC 104,10,6,4,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: 1st Half Session 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ARTH 101 D 
4 cr 
CRN 30199","Survey of Western Art: Ancient and Medieval
CLA-Breadth/Arts
CLA-Breadth/Humanities",Marguerite Keane,09:00 AM - 10:15 AM TR,ARTS 106,30,14,16,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 102 K 
4 cr 
CRN 30208","Survey of Western Art: Early Modern, Modern, and Contemporary
CLA-Breadth/Arts
CLA-Breadth/Humanities
CLA-Diversity International",Margaret Kuntz,01:15 PM - 02:30 PM TR,ARTS 106,30,26,4,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 102 K 
4 cr 
CRN 30208","Survey of Western Art: Early Modern, Modern, and Contemporary
CLA-Breadth/Arts
CLA-Breadth/Humanities
CLA-Diversity International",Margaret Kuntz,01:15 PM - 02:30 PM TR,ARTS 106,30,26,4,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 208 H 
4 cr 
CRN 30213","Islamic Art
CLA-Breadth/Arts
CLA-Breadth/Humanities
CLA-Diversity International",Marguerite Keane,11:50 AM - 01:05 PM TR,ARTS 106,30,17,13,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 243 C 
4 cr 
CRN 30216","History of Photography
CLA-Breadth/Arts
CLA-Breadth/Humanities",Kimberly Rhodes,09:00 AM - 10:15 AM MW,ARTS 106,30,27,3,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 260 F 
4 cr 
CRN 30218","History of Architecture from A to Z: Alberti to Zaha Hadid
CLA-Breadth/Arts
CLA-Breadth/Humanities
CLA-Quantitative",Margaret Kuntz,10:25 AM - 11:40 AM TR,ARTS 106,20,22,-2,1,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 300 X 
3 cr 
CRN 30893","Gender, Sexuality, and Victorian Visual Culture",Kimberly Rhodes,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ARTH 300 X1 
4 cr 
CRN 30798",Degenerate Art,Kimberly Rhodes,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ARTH 306 G 
4 cr 
CRN 30223","Early 20th-Century Art
CLA-Breadth/Arts
CLA-Breadth/Humanities",Kimberly Rhodes,11:50 AM - 01:05 PM MW,ARTS 106,30,25,5,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 310 KZ 
4 cr 
CRN 30002","Colloquium in Art History: Gender, Sexuality, and Victorian Visual Culture
CLA-Writing Intensive
CLA-Writing in the Major",Kimberly Rhodes,01:15 PM - 03:45 PM R,ARTS 105,15,4,11,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ARTH 310 - X 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ARTH 310 X 
4 cr 
CRN 30802","Gender, Sexuality, and Victorian Visual Culture
CLA-Writing Intensive
CLA-Writing in the Major",Kimberly Rhodes,-,,15,4,11,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ARTH 310 - KZ 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ARTH 394 X 
2 cr 
CRN 30946",Research Assistant,Marguerite Keane,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"BCHM 395 X 
4 cr 
CRN 30581","Research in Biochemistry
CLA-Writing in the Major",Adam Cassano,-,,12,6,6,0,"Pre-reqs: (CHEM 360 ) OR (CHEM 117X ) OR (CHEM 117X ) OR (BIOL 368 ) OR (BIOL 156X ) 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BCHM 400 J 
2 cr 
CRN 30582","Capstone Seminar
CLA-Capstone",Adam Cassano,01:15 PM - 02:30 PM M,HSC S142,16,7,9,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BCHM 411 X 
4 cr 
CRN 30808",Specialized Honors II: Evolutionary Conservation of eEF3 in Coccomyxa Subellipsoidea,Stephen Dunaway,-,,1,0,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"BCHM 411 X1 
4 cr 
CRN 30818",Specialized Honors II: Synthesis of a Novel Imidazoline Compound,Vincent Gullo,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"BCHM 411 X2 
4 cr 
CRN 30826",Specialized Honors II: Investigating Mechanisms of cAMP Hydrolysis,Adam Cassano,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"BCHM 411 X3 
4 cr 
CRN 30830",Specialized Honors II: Role of Cylic Dinucleotides in Innate Immune Signaling,Brianne Barker,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"BIOL 102 J 
4 cr 
CRN 30551","Biological Basis of Human Sexuality
CLA-Breadth/Natural Science",Christina McKittrick,01:15 PM - 02:20 PM MWF,HSC S308,36,34,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 103 E 
4 cr 
CRN 30552","Microbes in Health and Human Disease
CLA-Breadth/Natural Science
CLA-Quantitative",Joanna Miller,10:25 AM - 11:30 AM MWF,HSC S139,24,20,4,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 160 C 
4 cr 
CRN 30553","Diversity of Life: Animals, Plants, and Microbes
CLA-Breadth/Natural Science",Caroline Maier,09:10 AM - 10:15 AM MWF,HSC S4,63,37,26,0,"Pre-reqs: 
Co-Reqs: BIOL 160L 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 160 E 
4 cr 
CRN 30554","Diversity of Life: Animals, Plants, and Microbes
CLA-Breadth/Natural Science",Caroline Maier,10:25 AM - 11:40 AM MWF,HSC S4,65,67,-2,0,"Pre-reqs: 
Co-Reqs: BIOL 160L 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 160L BF1 
0 cr 
CRN 30629",Lab for Diversity of Life,Paris Scarano,08:40 AM - 11:40 AM T,HSC S129,20,22,-2,0,"Pre-reqs: 
Co-Reqs: BIOL 160 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 160L BF2 
0 cr 
CRN 30630",Lab for Diversity of Life,Paris Scarano,08:40 AM - 11:40 AM R,HSC S129,20,21,-1,3,"Pre-reqs: 
Co-Reqs: BIOL 160 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 160L JT1 
0 cr 
CRN 30571",Lab for Diversity of Life,Paris Scarano,01:15 PM - 04:15 PM M,HSC S129,20,20,0,2,"Pre-reqs: 
Co-Reqs: BIOL 160 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 160L JT2 
0 cr 
CRN 30572",Lab for Diversity of Life,Paris Scarano,01:15 PM - 04:15 PM W,HSC S129,20,20,0,0,"Pre-reqs: 
Co-Reqs: BIOL 160 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 160L JT3 
0 cr 
CRN 30573",Lab for Diversity of Life,Paris Scarano,01:15 PM - 04:15 PM F,HSC S129,20,21,-1,1,"Pre-reqs: 
Co-Reqs: BIOL 160 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 215 E 
4 cr 
CRN 30555","Environmental Science
CLA-Breadth/Natural Science",Molly Crowther,10:25 AM - 11:15 AM MWF,HSC S142,20,20,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ESS 215 - E 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 215 F 
4 cr 
CRN 30556","Environmental Science
CLA-Breadth/Natural Science",Caroline Maier,10:25 AM - 11:40 AM TR,HSC S142,20,20,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ESS 215 - F 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 252 D 
4 cr 
CRN 30557",Microbiology,Brianne Barker,09:00 AM - 10:15 AM TR,BC 120,32,32,0,0,"Pre-reqs: (BIOL 160 OR BIOL 9X ) AND (BIOL 250 OR BIOL 22X ) AND (BIOL 252L (MAY BE TAKEN CONCURRENTLY) ) 
Co-Reqs: BIOL 252L 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
