Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ART 106 CE 
4 cr 
CRN 30016","Drawing I
CLA-Breadth/Arts",Jason Karolak,"09:40 AM - 11:40 AM MW
 08:30 AM - 11:30 AM M - Final Exam","ARTS 206
 ARTS 206 - Final Exam",16,14,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 106 DF 
4 cr 
CRN 30011","Drawing I
CLA-Breadth/Arts",Raymond Stein,"09:40 AM - 11:40 AM TR
 08:30 AM - 11:30 AM T - Final Exam","ARTS 206
 ARTS 206 - Final Exam",16,14,2,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 106 KZ 
4 cr 
CRN 30014","Drawing I
CLA-Breadth/Arts",Raymond Stein,"01:55 PM - 03:55 PM TR
 04:00 PM - 07:00 PM R - Final Exam","ARTS 206
 ARTS 206 - Final Exam",16,8,8,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 112 JT 
4 cr 
CRN 30018","Ceramic Sculpture I
CLA-Breadth/Arts",William Mutter,"01:15 PM - 03:15 PM MW
 08:30 AM - 11:30 AM W - Final Exam","ARTS 7
 ARTS 7 - Final Exam",16,15,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ART 212 - JT 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 112 TL 
4 cr 
CRN 30019","Ceramic Sculpture I
CLA-Breadth/Arts",William Mutter,"03:45 PM - 05:45 PM MW
 07:30 PM - 10:30 PM F - Final Exam","ARTS 7
 ARTS 7 - Final Exam",16,15,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ART 212 - TL 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 120 GJ 
4 cr 
CRN 30021","Digital Imaging
CLA-Breadth/Arts",Lee Arnold,"11:50 AM - 01:50 PM WF
 12:30 PM - 03:30 PM M - Final Exam","ARTS 102
 ARTS 102 - Final Exam",14,14,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 130 DF 
4 cr 
CRN 30022","Photography I
CLA-Breadth/Arts",Rebecca Soderholm,"09:00 AM - 11:00 AM TR
 08:30 AM - 11:30 AM T - Final Exam","ARTS 102
 ARTS 102 - Final Exam",14,13,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 130 KZ 
4 cr 
CRN 30037","Photography I
CLA-Breadth/Arts",Rory Mulligan,"01:15 PM - 03:15 PM TR
 04:00 PM - 07:00 PM R - Final Exam","ARTS 102
 ARTS 102 - Final Exam",14,13,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 140 KZ 
4 cr 
CRN 30039","Printmaking 1
CLA-Breadth/Arts",Ahni Kruger,"01:55 PM - 03:55 PM TR
 04:00 PM - 07:00 PM R - Final Exam","ARTS 3
 ARTS 3 - Final Exam",20,9,11,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: ART 240 - KZ; ART 340 - KZ 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 160 HK 
4 cr 
CRN 30040","Painting I
CLA-Breadth/Arts",Michael Peglau,12:25 PM - 02:25 PM TR,ARTS 202,12,12,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 160 ZM 
4 cr 
CRN 30042","Painting I
CLA-Breadth/Arts",Michael Peglau,02:40 PM - 04:40 PM TR,ARTS 202,12,12,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 205 HK 
4 cr 
CRN 30056","Sculpture II
CLA-Breadth/Arts",Raymond Stein,"11:50 AM - 01:50 PM TR
 12:30 PM - 03:30 PM T - Final Exam","ARTS 8
 ARTS 8 - Final Exam",12,10,2,0,"Pre-reqs: ART 105 
Co-Reqs: 
Cross Listed: ART 105 - HK; ART 305 - HK 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 206 HK 
4 cr 
CRN 30044",Drawing II,Claire Sherman,"11:50 AM - 01:50 PM TR
 12:30 PM - 03:30 PM T - Final Exam","ARTS 206
 ARTS 206 - Final Exam",16,16,0,2,"Pre-reqs: ART 106 OR ART 21X 
Co-Reqs: 
Cross Listed: ART 306 - HK 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 212 JT 
4 cr 
CRN 30046",Ceramic Sculpture II,William Mutter,"01:15 PM - 03:15 PM MW
 04:00 PM - 07:00 PM F - Final Exam","ARTS 7
 ARTS 7 - Final Exam",16,15,1,0,"Pre-reqs: ART 112 OR ART 27X 
Co-Reqs: 
Cross Listed: ART 112 - JT 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 212 TL 
4 cr 
CRN 30051",Ceramic Sculpture II,William Mutter,"03:45 PM - 05:45 PM MW
 07:30 PM - 10:30 PM F - Final Exam","ARTS 7
 ARTS 7 - Final Exam",16,15,1,0,"Pre-reqs: ART 112 OR ART 27X 
Co-Reqs: 
Cross Listed: ART 112 - TL 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 240 KZ 
4 cr 
CRN 30053",Printmaking II,Ahni Kruger,"01:55 PM - 03:55 PM TR
 04:00 PM - 07:00 PM R - Final Exam","ARTS 3
 ARTS 3 - Final Exam",20,9,11,0,"Pre-reqs: (ART 140 OR ART 106 ) 
Co-Reqs: 
Cross Listed: ART 140 - KZ; ART 340 - KZ 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 260 TL 
4 cr 
CRN 30058",Painting II,Jason Karolak,"02:40 PM - 04:40 PM MW
 07:30 PM - 10:30 PM F - Final Exam","ARTS 201
 ARTS 201 - Final Exam",12,10,2,0,"Pre-reqs: ART 160 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 300 X1 
1 cr 
CRN 30885",Drawing in Abstraction Pattern,Michael Peglau,-,,10,1,9,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: 1st Half Session 
Final Exam:"
"ART 300 X3 
1 cr 
CRN 30929",Printmaking,Ahni Kruger,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: 2nd Half Session 
Final Exam:"
"ART 300 X4 
1 cr 
CRN 30949",Ceramic Sculpture,William Mutter,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 300 X5 
1 cr 
CRN 30958",Art,Claire Sherman,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 300 X6 
1 cr 
CRN 30975",Digital Character Design and Animation,Lee Arnold,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: 2nd Half Session 
Final Exam:"
"ART 305 HK 
4 cr 
CRN 30060",Sculpture III,Raymond Stein,"11:50 AM - 01:50 PM TR
 12:30 PM - 03:30 PM T - Final Exam","ARTS 8
 ARTS 8 - Final Exam",12,10,2,0,"Pre-reqs: (ART 208 ) OR (ART 205 OR ART 28X ) 
Co-Reqs: 
Cross Listed: ART 105 - HK; ART 205 - HK 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 306 HK 
4 cr 
CRN 30061",Drawing III,Claire Sherman,"11:50 AM - 01:50 PM TR
 12:30 PM - 03:30 PM T - Final Exam","ARTS 206
 ARTS 206 - Final Exam",16,16,0,0,"Pre-reqs: ART 206 OR ART 122X 
Co-Reqs: 
Cross Listed: ART 206 - HK 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 310 H1 
2 cr 
CRN 30063","Artist Writes
CLA-Writing in the Major",Rebecca Soderholm,11:50 AM - 01:05 PM TR,ARTS 105,10,9,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: 1st Half Session 
Final Exam: Y"
"ART 310 H2 
2 cr 
CRN 30064","Artist Writes
CLA-Writing in the Major",Rebecca Soderholm,"11:50 AM - 01:05 PM TR
 12:30 PM - 03:30 PM T - Final Exam","ARTS 105
 ARTS 105 - Final Exam",10,9,1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: 2nd Half Session 
Final Exam: Y"
"ART 320 CE 
4 cr 
CRN 30062","Digital Animation
CLA-Breadth/Arts
CLA-Quantitative",Lee Arnold,"09:10 AM - 11:10 AM WF
 08:30 AM - 11:30 AM M - Final Exam","ARTS 102
 ARTS 102 - Final Exam",14,10,4,0,"Pre-reqs: (ART 220 OR ART 37X ) OR (ART 120 OR ART 35X ) 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ART 330 JT 
4 cr 
CRN 30066",Photography III,Rebecca Soderholm,"01:55 PM - 03:55 PM MW
 04:00 PM - 07:00 PM F - Final Exam","ARTS 2
 ARTS 2 - Final Exam",14,13,1,0,"Pre-reqs: (ART 130 OR ART 33X ) AND (ART 230 OR ART 34X ) 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 340 KZ 
4 cr 
CRN 30065",Printmaking III,Ahni Kruger,"01:55 PM - 03:55 PM TR
 04:00 PM - 07:00 PM R - Final Exam","ARTS 3
 ARTS 3 - Final Exam",20,9,11,0,"Pre-reqs: ART 240 
Co-Reqs: 
Cross Listed: ART 140 - KZ; ART 240 - KZ 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 360 M 
4 cr 
CRN 30067",Painting III,Claire Sherman,"04:30 PM - 06:30 PM TR
 04:00 PM - 07:00 PM T - Final Exam","ARTS 201
 ARTS 201 - Final Exam",12,14,-2,0,"Pre-reqs: ART 260 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 402 DF 
4 cr 
CRN 30068","Advanced Studio Projects
CLA-Capstone",Claire Sherman,"09:40 AM - 11:40 AM TR
 08:30 AM - 11:30 AM T - Final Exam","ARTS 207
 ARTS 207 - Final Exam",16,10,6,0,"Pre-reqs: ART 400 OR ART 140X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 402 DF 
4 cr 
CRN 30068","Senior Studio II
CLA-Capstone",Claire Sherman,"09:40 AM - 11:40 AM TR
 08:30 AM - 11:30 AM T - Final Exam","ARTS 207
 ARTS 207 - Final Exam",16,10,6,0,"Pre-reqs: ART 400 OR ART 140X 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"ART 404 0 
1 cr 
CRN 30984",Senior Exhibition,Claire Sherman,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 404 X 
1 cr 
CRN 30069",Advanced Photography,Rebecca Soderholm,-,,0,1,-1,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 404 X1 
1 cr 
CRN 30842",Independent Study in Art,Rebecca Soderholm,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ART 404 X2 
1 cr 
CRN 30965",Painting: Exploration of color in oils,Jason Karolak,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: 2nd Half Session 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"ARTH 102 H 
4 cr 
CRN 30007","Survey of Western Art: Early Modern, Modern, and Contemporary
CLA-Breadth/Arts
CLA-Breadth/Humanities
CLA-Diversity International",Margaret Kuntz,"11:50 AM - 01:05 PM TR
 12:30 PM - 03:30 PM T - Final Exam","ARTS 106
 ARTS 106 - Final Exam",45,35,10,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ARTH 102 H 
4 cr 
CRN 30007","Survey of Western Art: Early Modern, Modern, and Contemporary
CLA-Breadth/Arts
CLA-Breadth/Humanities
CLA-Diversity International",Margaret Kuntz,"11:50 AM - 01:05 PM TR
 12:30 PM - 03:30 PM T - Final Exam","ARTS 106
 ARTS 106 - Final Exam",45,35,10,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ARTH 102 K 
4 cr 
CRN 30012","Survey of Western Art: Early Modern, Modern, and Contemporary
CLA-Breadth/Arts
CLA-Breadth/Humanities
CLA-Diversity International",Margaret Kuntz,"01:15 PM - 02:30 PM TR
 04:00 PM - 07:00 PM R - Final Exam","ARTS 106
 ARTS 106 - Final Exam",45,27,18,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ARTH 102 K 
4 cr 
CRN 30012","Survey of Western Art: Early Modern, Modern, and Contemporary
CLA-Breadth/Arts
CLA-Breadth/Humanities
CLA-Diversity International",Margaret Kuntz,"01:15 PM - 02:30 PM TR
 04:00 PM - 07:00 PM R - Final Exam","ARTS 106
 ARTS 106 - Final Exam",45,27,18,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ARTH 300 X 
1 cr 
CRN 30804",Independent Study: Shakespeare and Books,Kimberly Rhodes,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"ARTH 304 G 
4 cr 
CRN 30013","Baroque and Rococo Art
CLA-Breadth/Arts
CLA-Breadth/Humanities",Margaret Kuntz,"11:50 AM - 01:05 PM WF
 12:30 PM - 03:30 PM M - Final Exam","ARTS 106
 ARTS 106 - Final Exam",45,11,34,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ARTH 306 E 
4 cr 
CRN 30015","Early 20th-Century Art
CLA-Breadth/Arts
CLA-Breadth/Humanities",Kimberly Rhodes,"10:25 AM - 11:40 AM MW
 12:30 PM - 03:30 PM F - Final Exam","ARTS 106
 ARTS 106 - Final Exam",45,26,19,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ARTH 310 JT 
4 cr 
CRN 30017","Colloquim in Art Hist: Gender, Sexuality, and Victorian Visual Culture
CLA-Breadth/Humanities
CLA-Writing Intensive
CLA-Writing in the Major",Kimberly Rhodes,01:15 PM - 03:45 PM W,ARTS 105,15,8,7,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam: Y"
"ARTH 411 X 
4 cr 
CRN 30763","Specialized Honors II: Disability Art: Returning the Gaze
CLA-Capstone
CLA-Writing Intensive",Kimberly Rhodes,-,,1,1,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"BCHM 395 X 
4 cr 
CRN 30779","Research in Biochemistry
CLA-Writing in the Major","Adam Cassano
 Stephen Dunaway",-,,15,5,10,0,"Pre-reqs: (CHEM 360 ) OR (CHEM 117X ) OR (CHEM 117X ) OR (BIOL 368 ) OR (BIOL 156X ) 
Co-Reqs: 
Cross Listed: 
Approval Type: IA 
Part of Term: Full Term 
Final Exam:"
"BCHM 400 J 
2 cr 
CRN 30743","Capstone Seminar
CLA-Capstone",Stephen Dunaway,"04:15 PM - 05:30 PM WF
 04:00 PM - 07:00 PM F - Final Exam","HSC S142
 HSC S142 - Final Exam",20,10,10,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
Course,Title & Requirements Met,Instructors,Meeting Times,Room,Max,Current,Avail,Waitlist,Other Attributes
"BIOL 103 E 
4 cr 
CRN 30244","Microbes in Health and Disease
CLA-Breadth/Natural Science
CLA-Quantitative",Joanna Miller,"10:25 AM - 11:30 AM MWF
 12:30 PM - 03:30 PM F - Final Exam","HSC S139
 HSC S139 - Final Exam",24,21,3,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 105 G 
4 cr 
CRN 30245","Exercise Physiology
CLA-Breadth/Natural Science
CLA-Quantitative",Bhagavathi Ramamurthy,"11:50 AM - 01:05 PM WF
 12:30 PM - 03:30 PM M - Final Exam","HSC S105
 HSC S105 - Final Exam",16,16,0,0,"Pre-reqs: 
Co-Reqs: 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
"BIOL 160 C 
4 cr 
CRN 30246","Diversity of Life: Animals, Plants, and Microbes
CLA-Breadth/Natural Science
CLA-Writing in the Major",Caroline Maier,"09:10 AM - 10:15 AM MWF
 08:30 AM - 11:30 AM M - Final Exam","HSC S4
 HSC S4 - Final Exam",48,35,13,0,"Pre-reqs: 
Co-Reqs: BIOL 160L 
Cross Listed: 
Approval Type: 
Part of Term: Full Term 
Final Exam:"
